field,index,data_type,language,local_weight,global_weight,search_type,pre_processing,keys,weight_calculation
party_id,parties,str,en,0,0,deterministic,FALSE,TRUE,FALSE
party_type,parties,str,en,0,0,deterministic,FALSE,FALSE,FALSE
is_searchable,parties,str,en,0,0,deterministic,FALSE,FALSE,FALSE
is_deleted,parties,str,en,0,0,deterministic,FALSE,FALSE,FALSE
party_id,nationalities,str,en,0,0,deterministic,FALSE,TRUE,FALSE
role,nationalities,str,en,0,0,deterministic,FALSE,TRUE,FALSE
source_country,nationalities,str,en,0,0,deterministic,FALSE,TRUE,FALSE
organization,nationalities,str,en,0,0,deterministic,FALSE,TRUE,FALSE
nationality,nationalities,str,en,5,10,deterministic,FALSE,FALSE,TRUE
sequence,nationalities,str,en,0,0,deterministic,FALSE,TRUE,FALSE
national_number,nationalities,str,en,10,0,deterministic,FALSE,FALSE,TRUE
document_type,nationalities,str,en,2.5,0,deterministic,FALSE,FALSE,TRUE
document_number,nationalities,str,en,2.5,0,deterministic,FALSE,FALSE,TRUE
registration_number,nationalities,str,en,0,0,deterministic,FALSE,FALSE,TRUE
tax_identification_number,nationalities,str,en,0,0,deterministic,FALSE,FALSE,TRUE
license_profession_number,nationalities,str,en,0,0,deterministic,FALSE,FALSE,TRUE
party_id,names,str,en,0,0,deterministic,FALSE,TRUE,FALSE
role,names,str,en,0,0,deterministic,FALSE,TRUE,FALSE
source_country,names,str,en,0,0,deterministic,FALSE,TRUE,FALSE
organization,names,str,en,0,0,deterministic,FALSE,TRUE,FALSE
sequence,names,str,en,0,0,deterministic,FALSE,TRUE,FALSE
first_name_ar,names,str,ar,10,10,phonetics,TRUE,FALSE,TRUE
second_name_ar,names,str,ar,2.5,2.5,phonetics,TRUE,FALSE,TRUE
third_name_ar,names,str,ar,2.5,2.5,phonetics,TRUE,FALSE,TRUE
last_name_ar,names,str,ar,10,10,phonetics,TRUE,FALSE,TRUE
full_name_ar,names,str,ar,5,5,phonetics,TRUE,FALSE,TRUE
short_name_ar,names,str,ar,0,0,phonetics,TRUE,FALSE,TRUE
mother_name_ar,names,str,ar,5,5,phonetics,TRUE,FALSE,TRUE
first_name_en,names,str,en,10,10,phonetics,TRUE,FALSE,TRUE
second_name_en,names,str,en,2.5,2.5,phonetics,TRUE,FALSE,TRUE
third_name_en,names,str,en,2.5,2.5,phonetics,TRUE,FALSE,TRUE
last_name_en,names,str,en,10,10,phonetics,TRUE,FALSE,TRUE
full_name_en,names,str,en,5,5,phonetics,TRUE,FALSE,TRUE
short_name_en,names,str,en,0,0,phonetics,TRUE,FALSE,TRUE
mother_name_en,names,str,en,5,5,phonetics,TRUE,FALSE,TRUE
party_id,parties_country,str,en,0,0,deterministic,FALSE,TRUE,FALSE
role,parties_country,str,en,0,0,deterministic,FALSE,TRUE,FALSE
source_country,parties_country,str,en,0,0,deterministic,FALSE,TRUE,TRUE
organization,parties_country,str,en,0,0,deterministic,FALSE,TRUE,FALSE
date_of_birth,parties_country,int,en,5,10,deterministic,FALSE,FALSE,TRUE
sequence,parties_country,str,en,0,10,deterministic,FALSE,TRUE,FALSE
country_of_origin,parties_country,str,en,5,0,deterministic,FALSE,FALSE,TRUE
country_of_incoporation,parties_country,str,en,0,0,deterministic,FALSE,FALSE,TRUE
place_of_birth,parties_country,str,en,5,5,phonetics,FALSE,FALSE,TRUE
word,feedback,str,mex,0,0,deterministic,TRUE,FALSE,FALSE
similar_status,feedback,str,en,0,0,deterministic,FALSE,FALSE,FALSE
similar_word,feedback,str,mex,0,0,deterministic,TRUE,FALSE,FALSE
